
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus       Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

49           1.663      6.001     0.9013      54.19    0.8595     51.68
50           1.663      6.001     0.9013       54.2    0.8589     51.65
51           1.663      6.001     0.9013       54.2    0.8589     51.65
151          1.663      6.001     0.9013       54.2    0.8589     51.65
52           1.678      6.054     0.9106      54.27    0.8858     52.79
53           1.675      6.045     0.9096       54.3    0.8845      52.8
54           1.673      6.038      0.909      54.32    0.8838     52.81
55           1.673      6.038     0.9089      54.31    0.8838     52.82
57            1.67      6.025     0.9065      54.29    0.8811     52.77
56           1.673      6.038     0.9088      54.31    0.8839     52.83
58           2.469      1.028          0          0         0         0
60           1.662      5.997     0.9018      54.26    0.8751     52.65
59           2.468      1.028          0          0         0         0
61           1.662      5.997     0.9018      54.26    0.8751     52.65
62            1.66      5.989     0.9007      54.27    0.8731      52.6
63           1.658      5.984        0.9      54.27     0.872     52.58
64           1.655      5.973     0.8987      54.29    0.8699     52.55
65           1.653      5.965     0.8976       54.3    0.8684     52.54
66           1.652      5.962     0.8972      54.31    0.8673     52.49
67           1.627      5.873     0.8878      54.55    0.8599     52.84
68          0.1231     0.4441          0          0         0         0
72           1.627      5.871     0.8873      54.54    0.8606     52.89
97           1.627      5.869     0.8873      54.55    0.8581     52.76
69          0.1229     0.4433          0          0         0         0
70          0.1227     0.4428          0          0         0         0
71          0.1226     0.4425          0          0         0         0
73           2.497       1.04          0          0         0         0
76           1.627      5.871     0.8869      54.51    0.8625     53.01
74           2.493      1.038          0          0         0         0
75            2.49      1.037          0          0         0         0
77           1.629      5.878     0.8878       54.5    0.8654     53.13
86           1.627      5.869     0.8856      54.45    0.8641     53.12
78           1.629       5.88     0.8881       54.5    0.8661     53.15
79           1.629       5.88     0.8881       54.5     0.866     53.15
80           1.632      5.888     0.8896      54.51    0.8693     53.27
81           1.633      5.892     0.8902      54.52    0.8704     53.31
82           1.634      5.898     0.8912      54.52    0.8729      53.4
84           2.514      1.047          0          0         0         0
83           1.636      5.904     0.8921      54.53    0.8753      53.5
85           2.511      1.045          0          0         0         0
87           1.626      5.868     0.8849      54.42    0.8648     53.18
88          0.1288     0.4647          0          0         0         0
89           1.626      5.868     0.8847       54.4    0.8652      53.2
90           2.488      1.036          0          0         0         0
91           1.626      5.868     0.8847      54.41    0.8649     53.18
92           2.515      1.047          0          0         0         0
93           1.626      5.867     0.8846       54.4     0.865     53.19
94          0.1292     0.4661          0          0         0         0
95           1.626      5.867     0.8843      54.39    0.8651     53.21
96           2.485      1.035          0          0         0         0
98           1.626      5.868     0.8871      54.55    0.8576     52.74
99           1.625      5.865     0.8868      54.56    0.8565     52.69
100          1.625      5.865     0.8868      54.57    0.8558     52.66
450          1.625      5.865     0.8868      54.57    0.8558     52.66
197          1.627      5.869     0.8873      54.55    0.8581     52.76
101          1.626      5.867      0.887      54.55    0.8569      52.7
102          2.494      1.039          0          0         0         0
105          1.626      5.866     0.8865      54.54    0.8571     52.72
103           2.49      1.037          0          0         0         0
104          2.486      1.035          0          0         0         0
106          2.493      1.038          0          0         0         0
108          1.626      5.866     0.8865      54.53     0.857     52.72
107           2.49      1.037          0          0         0         0
109         0.1209     0.4362          0          0         0         0
300          1.626      5.866     0.8865      54.53     0.857     52.72
110         0.1207     0.4354          0          0         0         0
111         0.1206     0.4351          0          0         0         0
112         0.1206     0.4351          0          0         0         0
113         0.1203     0.4342          0          0         0         0
114         0.1203      0.434          0          0         0         0
135          1.674      6.042     0.9065      54.14    0.8738     52.19
152          1.683      6.073     0.9127      54.22    0.8884     52.78
160r         1.629      5.879     0.8892      54.59     0.862     52.91
150r         1.717      6.196     0.9257      53.91    0.9266     53.96
160          1.662      5.997     0.9018      54.26    0.8751     52.65
61s          1.662      5.997     0.9018      54.26    0.8751     52.65
300_open     1.663      6.001     0.9013       54.2    0.8589     51.65
94_open     0.1168     0.4214          0          0         0         0
610         0.1918      0.692     0.1041      54.26 1.153E-009 6.01E-007
